City,Fuel Type,Body Type,km,price,ownerNo,Manufacturer,model,modelYear,Insurance Validity,Engine Displacement,Transmission,Mileage,Seats,Color,No of Cylinder,Drive Type,Seating Capacity,Steering Type,No Door Numbers
Bangalore,Petrol,Hatchback,54601,442000,3,Maruti,Maruti Swift,1970-01-01 00:00:00.000002014,Comprehensive,1197.0,Manual,22.38,5,White,4,FWD,5,Electric,5
Bangalore,Diesel,Hatchback,110000,690000,1,Maruti,Maruti Swift,1970-01-01 00:00:00.000002018,Third Party insurance,1248.0,Manual,28.4,5,Dark Black,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,64000,500000,2,Maruti,Maruti Celerio,1970-01-01 00:00:00.000002017,Third Party,998.0,Manual,23.1,5,Red,3,FWD,5,Power,5
Bangalore,Diesel,Sedan,40525,3395000,1,BMW,BMW 3 Series GT,1970-01-01 00:00:00.000002016,Comprehensive,1995.0,Automatic,21.76,5,White,4,RWD,5,Power,4
Bangalore,Diesel,Sedan,100000,650000,1,Maruti,Maruti Ciaz,1970-01-01 00:00:00.000002015,Third Party insurance,1248.0,Manual,26.21,5,White,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,44154,537000,2,Honda,Honda Jazz,1970-01-01 00:00:00.000002016,Comprehensive,1199.0,Automatic,19.0,5,White,4,FWD,5,Power,5
Bangalore,Diesel,MUV,70000,750000,1,Renault,Renault Lodgy,1970-01-01 00:00:00.000002016,Third Party insurance,1461.0,Manual,19.98,7,White,4,FWD,7,Power,5
Bangalore,Petrol,Sedan,79000,1789999,1,Skoda,Skoda Octavia,1970-01-01 00:00:00.000002018,Comprehensive,1798.0,Automatic,15.1,5,White,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,68039,468000,2,Tata,Tata Tiago,1970-01-01 00:00:00.000002017,Third Party insurance,1199.0,Manual,23.84,5,Orange,3,FWD,5,Power,5
Bangalore,Petrol,Hatchback,60000,420000,2,Maruti,Maruti Ritz,1970-01-01 00:00:00.000002014,Third Party insurance,1197.0,Manual,18.5,5,Silver,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,60000,420000,2,Maruti,Maruti Ritz,1970-01-01 00:00:00.000002014,Third Party insurance,1197.0,Manual,18.5,5,Silver,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,10000,919999,1,Hyundai,Hyundai i20,1970-01-01 00:00:00.000002021,Third Party insurance,998.0,Manual,20.0,5,Dark Black,3,FWD,5,Electric,5
Bangalore,Petrol,Sedan,49873,533000,1,Honda,Honda City,1970-01-01 00:00:00.000002013,Third Party,1497.0,Manual,16.8,5,Yellow,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,90000,850000,3,Volkswagen,Volkswagen Polo,1970-01-01 00:00:00.000002013,Third Party insurance,1197.0,Automatic,17.2,5,Dark Black,4,FWD,5,Power,5
